RANK,      NAME,       POSE,      SCORE
       1,                 chlo,     1,  -11.600
       2,                  ros,     1,  -10.910
       3,                  que,     1,  -10.770
       4,                  lig,     2,  -10.110
       5,                  caf,     1,   -7.070
       6,                  gal,     1,   -6.420
       7,                  cou,     3,   -6.040
       8,                  cat,     1,   -5.390
